feature,importance
num__dti,0.06424284256634127
num__int_rate,0.0636818603558322
num__annual_inc,0.062276209585697045
num__revol_util,0.06005638360599289
num__installment,0.05764454750710293
num__loan_amnt,0.04953048943978421
num__open_acc,0.0449041202617608
num__fico_range_low,0.03880770586307132
num__fico_range_high,0.03869088625563857
cat__term_ 60 months,0.015654310790701877
cat__grade_A,0.013288312026529246
cat__term_ 36 months,0.013175583891607789
cat__emp_length_10+ years,0.010650742908844548
cat__purpose_debt_consolidation,0.009918624324030787
cat__addr_state_CA,0.008861876453649347
cat__verification_status_Source Verified,0.00817554338490169
cat__verification_status_Verified,0.008101806197414423
cat__verification_status_Not Verified,0.008057757780428047
cat__home_ownership_MORTGAGE,0.00799032117074974
cat__home_ownership_RENT,0.00795095567191888
cat__purpose_credit_card,0.007626585840769097
cat__addr_state_NY,0.0068917899809148855
cat__emp_length_2 years,0.006417174447330063
cat__grade_B,0.0064003245023339555
cat__emp_length_< 1 year,0.006230541089280738
cat__emp_length_3 years,0.006177807665528908
cat__addr_state_FL,0.006157878699685299
cat__addr_state_TX,0.006044127751329971
cat__emp_length_5 years,0.0057297447023849655
cat__emp_length_1 year,0.0056258157696989575
cat__emp_length_4 years,0.005599596509151974
cat__home_ownership_OWN,0.0052489349850053536
cat__grade_D,0.005041055612768056
cat__emp_length_6 years,0.0048146463901798395
cat__emp_length_7 years,0.004763369776650567
cat__purpose_other,0.004741214306244419
cat__addr_state_NJ,0.004495801264053557
cat__emp_length_8 years,0.004281845079036647
cat__purpose_home_improvement,0.004193747160877695
cat__grade_C,0.004186448137825
cat__addr_state_IL,0.004170493141554039
cat__grade_E,0.003932009136032043
cat__emp_length_9 years,0.003851307437768677
cat__addr_state_GA,0.003791759848603308
cat__addr_state_PA,0.003786628239787211
cat__addr_state_OH,0.003711373258935404
cat__purpose_small_business,0.0036783574280576273
cat__addr_state_VA,0.003463173669915172
cat__addr_state_NC,0.003197866171446946
cat__issue_d_2014-10-01,0.003181518433492428
cat__addr_state_MA,0.0031724848979143867
cat__addr_state_AZ,0.0030502515603416107
cat__addr_state_MD,0.0029916119764642063
cat__addr_state_MI,0.0029176558648413005
cat__addr_state_WA,0.0028758671820011193
cat__issue_d_2012-11-01,0.002859832426215551
cat__sub_grade_C2,0.002837921495512974
cat__issue_d_2014-07-01,0.0028196777179443186
cat__issue_d_2012-10-01,0.002765192505747811
cat__sub_grade_C1,0.0027112053189644425
cat__purpose_major_purchase,0.002683858809624435
cat__sub_grade_B3,0.002676065506316807
cat__sub_grade_C3,0.0026558225998318126
cat__addr_state_CO,0.0026351167275648285
cat__issue_d_2012-12-01,0.002629479815481521
cat__sub_grade_B4,0.0026224193209253947
cat__issue_d_2011-12-01,0.002616409807257214
cat__sub_grade_C4,0.0025821272449808173
cat__issue_d_2013-12-01,0.0025441462704769075
cat__sub_grade_A4,0.002524180693574942
cat__issue_d_2015-07-01,0.0025211999282577385
cat__issue_d_2013-10-01,0.0025001259399124406
cat__issue_d_2012-09-01,0.002470964650343193
cat__grade_F,0.0024631727339563883
cat__issue_d_2013-11-01,0.00244834776646782
cat__addr_state_MN,0.0024168417834484106
cat__sub_grade_C5,0.0024106004619941666
cat__sub_grade_B5,0.0024001060716578168
cat__issue_d_2014-11-01,0.0023861657372906964
cat__issue_d_2013-09-01,0.002375953344834875
cat__issue_d_2012-08-01,0.002374604983938641
cat__issue_d_2015-10-01,0.0023739482069545224
cat__sub_grade_B2,0.0022757835092662732
cat__addr_state_NV,0.002252028871595156
cat__addr_state_MO,0.002251233233295941
cat__issue_d_2015-12-01,0.0022295533220503074
cat__sub_grade_B1,0.0022198603100349037
cat__issue_d_2011-11-01,0.002203949035211241
cat__issue_d_2011-10-01,0.0021868141024235853
cat__addr_state_CT,0.002185012142896422
cat__issue_d_2015-04-01,0.002167506970525228
cat__issue_d_2012-07-01,0.002140001683334203
cat__issue_d_2013-08-01,0.002137073533461327
cat__issue_d_2013-07-01,0.0021326900408937892
cat__issue_d_2015-11-01,0.0021251019391384895
cat__sub_grade_A1,0.002108938755171834
cat__sub_grade_D2,0.0020950001901138874
cat__issue_d_2011-09-01,0.0020909335844786045
cat__issue_d_2014-05-01,0.0020618958510275334
cat__issue_d_2015-05-01,0.002042313762982015
cat__sub_grade_D1,0.0020378237317679117
cat__sub_grade_A5,0.002017592184237748
cat__issue_d_2013-05-01,0.002009573803420869
cat__issue_d_2011-07-01,0.002008506812787579
cat__issue_d_2013-06-01,0.002002746248212976
cat__issue_d_2012-06-01,0.001988943354432265
cat__issue_d_2015-08-01,0.001988662467786846
cat__issue_d_2011-08-01,0.001984621496820058
cat__issue_d_2014-03-01,0.001977689952676411
cat__issue_d_2014-08-01,0.001968534223852503
cat__sub_grade_D3,0.001963857706643142
cat__issue_d_2015-01-01,0.0019614801895830045
cat__issue_d_2011-06-01,0.001944338709636719
cat__issue_d_2014-04-01,0.001936992916941213
cat__issue_d_2014-02-01,0.0019214421635634484
cat__sub_grade_D4,0.0018690456537409608
cat__purpose_car,0.0018681150682246892
cat__issue_d_2012-05-01,0.0018681117588624655
cat__issue_d_2013-04-01,0.0018658286820066115
cat__addr_state_AL,0.0018492587488214514
cat__addr_state_OR,0.001842005003068691
cat__addr_state_WI,0.0018189494005421824
cat__issue_d_2014-06-01,0.0018075747660204584
cat__issue_d_2011-05-01,0.0017969444041833192
cat__addr_state_LA,0.0017617208580644154
cat__addr_state_SC,0.001746101834419893
cat__sub_grade_D5,0.0016963196092234546
cat__issue_d_2014-01-01,0.0016919085070406035
cat__issue_d_2015-09-01,0.0016767772071648284
cat__purpose_medical,0.0016744690662363851
cat__issue_d_2015-03-01,0.0016695996408284703
cat__issue_d_2015-06-01,0.0016690511918019523
cat__issue_d_2011-04-01,0.0015872463790674732
cat__issue_d_2013-03-01,0.0015864862824572308
cat__issue_d_2015-02-01,0.0015639703389681134
cat__issue_d_2012-04-01,0.0015507296411477146
cat__issue_d_2012-03-01,0.0015261539177260006
cat__issue_d_2011-03-01,0.001518071223562091
cat__sub_grade_A3,0.0015152946127681348
cat__issue_d_2012-01-01,0.001513815280084916
cat__sub_grade_E1,0.0014863102060162444
cat__issue_d_2010-09-01,0.0014732323398753456
cat__issue_d_2013-02-01,0.001445957266970355
cat__addr_state_KY,0.001439526132331299
cat__addr_state_OK,0.0014325796497124336
cat__issue_d_2011-01-01,0.0014289935699227621
cat__sub_grade_A2,0.0014111551782760095
cat__sub_grade_E2,0.0013868936155544455
cat__issue_d_2010-12-01,0.0013867485894007911
cat__purpose_wedding,0.001371859729355358
cat__issue_d_2012-02-01,0.001368339327824516
cat__addr_state_IN,0.001364620703149555
cat__addr_state_TN,0.0013560067343325682
cat__issue_d_2014-09-01,0.001350743340917891
cat__addr_state_KS,0.0013413534898045116
cat__purpose_moving,0.0013274810209352136
cat__issue_d_2010-10-01,0.0013256622406431224
cat__issue_d_2013-01-01,0.001325546608050872
cat__issue_d_2010-08-01,0.0013242660950098524
cat__issue_d_2010-06-01,0.001259611509997328
cat__issue_d_2011-02-01,0.0012548809666779934
cat__issue_d_2010-07-01,0.0012531938094677566
cat__issue_d_2014-12-01,0.001121907983085822
cat__sub_grade_E3,0.0011113925928458062
cat__addr_state_UT,0.0011008451916946283
cat__sub_grade_E4,0.0010935468408410194
cat__addr_state_AR,0.001071991888193136
cat__addr_state_NM,0.0010702219303337006
cat__sub_grade_E5,0.001053273733849997
cat__purpose_vacation,0.0010518325769547942
cat__issue_d_2010-11-01,0.0010506113462542665
cat__issue_d_2010-05-01,0.0010367734389599916
cat__addr_state_HI,0.0009808314967285753
cat__purpose_house,0.0009420585028523401
cat__issue_d_2010-04-01,0.0008632122596824195
cat__addr_state_WV,0.0008441287792268806
cat__issue_d_2009-10-01,0.000820202028932948
cat__addr_state_NH,0.0007969725165079876
cat__addr_state_RI,0.0007904518128387871
cat__issue_d_2010-03-01,0.0007729429345553111
cat__issue_d_2009-11-01,0.0007104760310233769
cat__sub_grade_F1,0.000651760940796309
