feature,importance
num__int_rate,0.147188151201737
cat__term_ 60 months,0.0942487419824964
cat__grade_A,0.09165017763401208
cat__term_ 36 months,0.07872342121726095
num__fico_range_high,0.04994538640892155
num__fico_range_low,0.0434486562945502
num__annual_inc,0.0422806850768101
num__dti,0.034136981022228056
cat__grade_B,0.029262275813255773
num__loan_amnt,0.022649888827287343
num__installment,0.021821612818200217
num__revol_util,0.02140663824640754
cat__grade_D,0.021019926440673405
cat__grade_E,0.01797823517792554
cat__sub_grade_A1,0.012988065738167109
num__open_acc,0.012772494114066755
cat__verification_status_Not Verified,0.01236906292665944
cat__grade_C,0.010281550043712775
cat__grade_F,0.00983658021190275
cat__sub_grade_A4,0.009660454407794726
cat__sub_grade_A5,0.008276837928073174
cat__sub_grade_B1,0.007497632627724329
cat__purpose_small_business,0.007031349933824833
cat__home_ownership_MORTGAGE,0.006871475193143835
cat__sub_grade_A2,0.0065571868126319014
cat__sub_grade_B2,0.005160936855258622
cat__home_ownership_RENT,0.005138030806578511
cat__sub_grade_A3,0.0043534842200768495
cat__verification_status_Verified,0.004142866838034664
cat__sub_grade_B3,0.0035514689195768356
cat__purpose_credit_card,0.0034109701233075713
cat__sub_grade_E5,0.0033548941631775077
cat__emp_length_10+ years,0.003143670373853708
cat__sub_grade_B4,0.003006467033163607
cat__sub_grade_E1,0.002658055759085707
cat__purpose_debt_consolidation,0.002506048674221072
cat__sub_grade_E4,0.00237484322848427
cat__verification_status_Source Verified,0.00230360501016246
cat__sub_grade_C1,0.002256858170713501
cat__sub_grade_B5,0.0020140925089650943
cat__emp_length_2 years,0.0018474999263657645
cat__addr_state_FL,0.0018048717857525696
cat__addr_state_NY,0.0017820442860878086
cat__addr_state_TX,0.001726799512225044
cat__addr_state_CA,0.0016889153821995591
cat__purpose_other,0.0016783152631962652
cat__sub_grade_C2,0.0016593531745375107
cat__purpose_home_improvement,0.0016038267568510738
cat__emp_length_1 year,0.0015836944644434642
cat__emp_length_< 1 year,0.0015706976154750152
cat__home_ownership_OWN,0.0015483883383610255
cat__emp_length_3 years,0.0015189699877674557
cat__emp_length_4 years,0.001516816476014164
cat__sub_grade_D5,0.001483020849220504
cat__emp_length_5 years,0.0014634370065213006
cat__addr_state_NJ,0.0014044462490119375
cat__sub_grade_D1,0.001402292376613396
cat__sub_grade_D2,0.0013770048547178991
cat__sub_grade_C5,0.001336283869890882
cat__sub_grade_E2,0.0013123062762412047
cat__sub_grade_C4,0.0012390458794416016
cat__emp_length_7 years,0.0012315851919710735
cat__addr_state_PA,0.00121725388761701
cat__addr_state_IL,0.0012014156659252862
cat__addr_state_GA,0.001196190216612997
cat__emp_length_6 years,0.0011892287274440567
cat__purpose_car,0.0011855109455826821
cat__issue_d_2015-07-01,0.0011765090556432405
cat__emp_length_8 years,0.0011569320935876913
cat__purpose_major_purchase,0.0011153481854367956
cat__issue_d_2011-12-01,0.0011052834952450456
cat__addr_state_MA,0.0011034976098022874
cat__sub_grade_C3,0.0010977673783779925
cat__addr_state_VA,0.001096943611377712
cat__issue_d_2014-10-01,0.0010864625736839264
cat__issue_d_2013-12-01,0.0010855740746859707
cat__emp_length_9 years,0.0010582598653934997
cat__issue_d_2012-10-01,0.001052761862109097
cat__sub_grade_D4,0.0010336837533945155
cat__issue_d_2015-12-01,0.0010320676017538674
cat__sub_grade_D3,0.0010202781391888123
cat__addr_state_NC,0.0009908530608056978
cat__issue_d_2015-04-01,0.0009879475427224556
cat__issue_d_2015-08-01,0.0009624760082201812
cat__addr_state_WA,0.0009586470225526191
cat__addr_state_KS,0.000953838283018508
cat__addr_state_NV,0.0009502984343945542
cat__addr_state_MN,0.0009356893765230186
cat__sub_grade_E3,0.0009289974547691065
cat__addr_state_OH,0.0009196795466492839
cat__sub_grade_F1,0.0009167824879980262
cat__addr_state_CO,0.0009074308983739493
cat__issue_d_2012-01-01,0.0008955571630184321
cat__addr_state_MI,0.0008935696531057063
cat__purpose_moving,0.0008866625678590017
cat__issue_d_2011-10-01,0.0008849884336048919
cat__grade_G,0.0008533729649986435
cat__issue_d_2010-12-01,0.0008503197417343094
cat__purpose_wedding,0.0008454126865845218
cat__addr_state_AZ,0.0008390323214343676
cat__addr_state_MD,0.0008283760453399461
cat__addr_state_MO,0.0008241212865016138
cat__issue_d_2012-11-01,0.0008106073715586236
cat__issue_d_2014-11-01,0.0008100324579173168
cat__issue_d_2011-07-01,0.0008017724105659996
cat__issue_d_2013-08-01,0.0007879900571037252
cat__issue_d_2012-05-01,0.0007807526369461947
cat__issue_d_2015-10-01,0.0007628750153889196
cat__issue_d_2011-09-01,0.0007491361327246034
cat__issue_d_2015-05-01,0.0007456963887517411
cat__issue_d_2011-03-01,0.0007411964151699902
cat__issue_d_2011-06-01,0.0007342334905886428
cat__issue_d_2012-12-01,0.0007302727740421914
