feature,importance
cat__grade_A,0.11896245
cat__term_ 36 months,0.043239176
cat__term_ 60 months,0.033054464
num__int_rate,0.025402924
cat__grade_B,0.020776846
cat__purpose_small_business,0.00809156
cat__grade_D,0.00604932
cat__grade_C,0.005853844
cat__issue_d_2015-12-01,0.0055852234
cat__issue_d_2011-08-01,0.005471938
num__annual_inc,0.0054042935
cat__addr_state_KS,0.0051912772
cat__addr_state_DC,0.0049394784
cat__issue_d_2013-08-01,0.004794847
cat__issue_d_2015-04-01,0.0047613084
cat__issue_d_2013-12-01,0.0047103316
cat__grade_E,0.0046612285
cat__issue_d_2015-11-01,0.004642308
cat__issue_d_2015-08-01,0.004640427
cat__purpose_wedding,0.004574008
cat__issue_d_2015-07-01,0.004522268
cat__purpose_car,0.0043642656
cat__addr_state_NV,0.0042979303
cat__emp_length_10+ years,0.004249313
cat__addr_state_WY,0.0042448915
cat__sub_grade_C2,0.0041917777
cat__issue_d_2013-07-01,0.004162198
cat__addr_state_WV,0.004136943
cat__issue_d_2008-11-01,0.004132729
cat__addr_state_AR,0.0041300086
cat__issue_d_2012-05-01,0.004128905
num__fico_range_low,0.0041218675
cat__issue_d_2009-06-01,0.0041197874
num__fico_range_high,0.004103031
cat__sub_grade_A1,0.0040971437
cat__issue_d_2012-10-01,0.004091583
cat__issue_d_2014-03-01,0.0040543717
cat__purpose_vacation,0.0040509854
cat__issue_d_2008-03-01,0.004050681
cat__home_ownership_MORTGAGE,0.0040434515
cat__issue_d_2008-05-01,0.004034184
cat__issue_d_2013-02-01,0.0040296633
cat__issue_d_2010-01-01,0.004021989
cat__issue_d_2010-07-01,0.0040146187
num__dti,0.0039832597
cat__issue_d_2007-11-01,0.00397879
cat__issue_d_2012-01-01,0.0039488166
cat__issue_d_2012-09-01,0.003941582
cat__issue_d_2012-03-01,0.003927641
cat__addr_state_NM,0.0039062854
cat__sub_grade_C1,0.0038936387
cat__issue_d_2011-09-01,0.0038838792
cat__issue_d_2009-03-01,0.003883781
cat__issue_d_2010-12-01,0.0038719645
cat__issue_d_2014-09-01,0.003863301
cat__issue_d_2014-08-01,0.0038612892
cat__issue_d_2008-01-01,0.0038274776
cat__issue_d_2011-12-01,0.0038119154
cat__purpose_credit_card,0.0038108656
cat__issue_d_2014-10-01,0.0038054574
cat__addr_state_HI,0.003782415
cat__issue_d_2010-10-01,0.003765732
cat__issue_d_2010-08-01,0.0037604428
cat__addr_state_FL,0.0037513315
cat__issue_d_2012-12-01,0.0037342801
cat__purpose_major_purchase,0.0037330452
cat__issue_d_2013-09-01,0.003719129
cat__addr_state_AL,0.003700341
cat__issue_d_2013-05-01,0.003683918
cat__issue_d_2014-02-01,0.003683142
cat__issue_d_2012-04-01,0.0036736298
cat__issue_d_2012-02-01,0.0036688037
cat__home_ownership_RENT,0.0036675348
cat__addr_state_NY,0.0036568055
cat__addr_state_CO,0.0036460357
cat__issue_d_2015-06-01,0.0036318838
cat__issue_d_2011-01-01,0.003626192
cat__issue_d_2010-04-01,0.0036245387
cat__issue_d_2015-09-01,0.0036168112
cat__purpose_moving,0.0036162273
cat__issue_d_2009-04-01,0.003610746
cat__addr_state_NH,0.0036102997
cat__issue_d_2015-05-01,0.0035992342
cat__issue_d_2014-01-01,0.0035827016
cat__issue_d_2013-01-01,0.00356805
cat__issue_d_2013-10-01,0.0035522815
cat__sub_grade_A4,0.0035458782
cat__issue_d_2009-10-01,0.0035342583
cat__addr_state_TX,0.003533467
cat__issue_d_2009-08-01,0.0035212946
cat__verification_status_Source Verified,0.0035148135
cat__sub_grade_A3,0.0035064407
cat__issue_d_2015-10-01,0.003501792
num__installment,0.00348027
cat__issue_d_2015-03-01,0.0034801238
cat__verification_status_Verified,0.0034784365
cat__issue_d_2011-02-01,0.003473355
cat__issue_d_2011-04-01,0.003472998
cat__issue_d_2011-05-01,0.003439409
cat__addr_state_MI,0.0034336608
cat__issue_d_2013-11-01,0.0034308217
cat__sub_grade_B5,0.003428066
cat__issue_d_2010-02-01,0.0034186414
num__revol_util,0.0034087077
cat__issue_d_2010-06-01,0.003406555
cat__addr_state_DE,0.0033983605
cat__sub_grade_B1,0.0033858784
cat__issue_d_2013-03-01,0.003361756
cat__purpose_other,0.0033605935
cat__sub_grade_B4,0.0033540817
cat__addr_state_MA,0.0033306032
cat__sub_grade_A2,0.003322464
cat__addr_state_SC,0.0033222616
cat__addr_state_NJ,0.0033126487
cat__grade_F,0.003307382
cat__issue_d_2010-09-01,0.0033038615
cat__issue_d_2012-11-01,0.0033021898
cat__issue_d_2014-07-01,0.0032869074
cat__addr_state_GA,0.0032856548
cat__verification_status_Not Verified,0.0032825964
cat__addr_state_IL,0.0032553773
cat__purpose_medical,0.0032539465
cat__issue_d_2011-10-01,0.003252738
cat__issue_d_2010-03-01,0.0032412622
cat__addr_state_WI,0.0032316942
cat__issue_d_2009-07-01,0.0032267985
cat__sub_grade_B3,0.003216283
cat__issue_d_2013-04-01,0.003211406
cat__issue_d_2010-05-01,0.0032026772
cat__purpose_educational,0.003202426
cat__issue_d_2012-06-01,0.0031983284
num__loan_amnt,0.0031968155
cat__issue_d_2014-06-01,0.003187895
cat__issue_d_2013-06-01,0.0031780123
cat__issue_d_2011-03-01,0.0031723152
cat__addr_state_PA,0.00316983
cat__issue_d_2014-12-01,0.0031629824
cat__purpose_renewable_energy,0.003154573
cat__issue_d_2009-12-01,0.003131732
cat__emp_length_2 years,0.0031293228
cat__issue_d_2009-05-01,0.0031096986
cat__addr_state_OR,0.0030994478
cat__issue_d_2008-02-01,0.0030892626
cat__issue_d_2008-08-01,0.003062323
cat__sub_grade_D3,0.003060907
num__open_acc,0.0030330038
cat__purpose_house,0.0030199827
cat__emp_length_1 year,0.0030187587
cat__sub_grade_C4,0.0030138483
cat__sub_grade_B2,0.0030088678
cat__addr_state_AZ,0.0030066909
cat__sub_grade_C3,0.0030061956
cat__issue_d_2009-01-01,0.00300592
cat__addr_state_VA,0.0029934351
cat__sub_grade_F2,0.002968272
cat__issue_d_2008-04-01,0.0029567806
cat__addr_state_TN,0.0029519538
cat__emp_length_6 years,0.0029482523
cat__sub_grade_D1,0.0029474376
cat__addr_state_CT,0.0029206916
cat__sub_grade_A5,0.0029205238
cat__issue_d_2008-07-01,0.0029061094
cat__addr_state_CA,0.002902391
cat__issue_d_2014-11-01,0.0028956882
cat__emp_length_7 years,0.0028926309
cat__emp_length_8 years,0.0028851056
cat__issue_d_2011-11-01,0.002883617
cat__addr_state_UT,0.002883516
cat__purpose_home_improvement,0.002881953
cat__addr_state_MO,0.002881246
cat__issue_d_2012-07-01,0.0028784827
cat__sub_grade_F1,0.0028753118
cat__addr_state_WA,0.0028752927
cat__addr_state_MS,0.002867489
cat__home_ownership_OWN,0.0028666405
cat__addr_state_MD,0.0028513018
cat__emp_length_9 years,0.0028309354
cat__addr_state_IN,0.0028230024
cat__addr_state_NC,0.00281933
cat__issue_d_2015-01-01,0.0028192997
cat__issue_d_2011-06-01,0.0027919044
cat__sub_grade_F3,0.0027756502
cat__addr_state_KY,0.002775166
cat__emp_length_4 years,0.0027662271
cat__sub_grade_C5,0.0027597733
cat__issue_d_2014-04-01,0.0027503208
cat__sub_grade_G4,0.0027432137
cat__sub_grade_E5,0.0027268527
cat__emp_length_5 years,0.0027155124
cat__issue_d_2008-06-01,0.0027120663
cat__issue_d_2009-11-01,0.0027019074
cat__issue_d_2011-07-01,0.0026932897
cat__sub_grade_D4,0.002693217
cat__addr_state_LA,0.0026845348
cat__addr_state_MN,0.0026510528
cat__issue_d_2009-02-01,0.0026262612
cat__addr_state_MT,0.0026261546
cat__issue_d_2008-09-01,0.0026139917
cat__sub_grade_F4,0.0026002533
cat__sub_grade_E4,0.0025885697
cat__addr_state_AK,0.0025882956
cat__emp_length_less_than 1 year,0.002583525
cat__home_ownership_OTHER,0.0025666647
cat__issue_d_2007-10-01,0.0025252332
cat__addr_state_OH,0.0025182948
cat__purpose_debt_consolidation,0.002500317
cat__issue_d_2012-08-01,0.0024924916
cat__issue_d_2015-02-01,0.0024713248
cat__issue_d_2008-12-01,0.0024688614
cat__issue_d_2014-05-01,0.0024480894
cat__addr_state_SD,0.0024253447
cat__addr_state_NE,0.0024244334
cat__emp_length_3 years,0.0024125623
cat__issue_d_2007-12-01,0.0023701622
cat__issue_d_2008-10-01,0.002326839
cat__addr_state_VT,0.0023221155
cat__issue_d_2009-09-01,0.0023180544
cat__issue_d_2010-11-01,0.0022985747
cat__sub_grade_E3,0.002264927
cat__addr_state_RI,0.0022649195
cat__addr_state_OK,0.0022487876
cat__sub_grade_D5,0.0021837472
cat__sub_grade_E2,0.0021829891
cat__sub_grade_F5,0.0021730873
cat__sub_grade_E1,0.002123526
cat__issue_d_2007-08-01,0.0021233927
cat__sub_grade_D2,0.002042417
cat__grade_G,0.00203333
cat__sub_grade_G3,0.0019804225
cat__issue_d_2007-07-01,0.0017005403
cat__sub_grade_G2,0.0013892213
cat__addr_state_ND,0.0
cat__issue_d_2007-09-01,0.0
cat__sub_grade_G5,0.0
cat__addr_state_ID,0.0
cat__addr_state_IA,0.0
cat__issue_d_2007-06-01,0.0
cat__home_ownership_NONE,0.0
cat__sub_grade_G1,0.0
cat__addr_state_ME,0.0
